"","DESE","XSHB","WTSFS","GRAM","ENWD","TEDE","CMIX","CENF","TUND"
"DESE",16,5,1,6,1,0,0,0,0
"XSHB",2,27,1,4,0,0,0,0,0
"WTSFS",0,5,16,5,1,6,1,0,0
"GRAM",4,2,1,23,1,2,1,0,0
"ENWD",1,3,5,3,21,1,0,0,0
"TEDE",0,1,7,1,1,19,5,0,0
"CMIX",0,0,0,1,3,2,28,0,0
"CENF",0,0,0,1,1,2,4,23,3
"TUND",0,0,0,1,0,0,3,2,19
