"","DESE","XSHB","WTSFS","GRAM","ENWD","TEDE","CMIX","CENF","TUND"
"DESE",16,3,1,2,1,0,0,0,0
"XSHB",2,31,1,4,0,0,0,0,0
"WTSFS",0,4,22,4,0,3,1,0,0
"GRAM",4,1,1,28,1,1,1,0,0
"ENWD",1,3,2,3,23,0,0,0,0
"TEDE",0,1,4,1,1,25,2,0,0
"CMIX",0,0,0,1,2,1,31,0,0
"CENF",0,0,0,1,1,2,4,25,2
"TUND",0,0,0,1,0,0,3,0,20
