"","DESE","XSHB","WTSFS","GRAM","ENWD","TEDE","CMIX","CENF","TUND"
"DESE",44,1,0,12,1,0,0,0,0
"XSHB",1,7,0,0,1,2,0,0,0
"WTSFS",1,32,137,24,15,53,0,0,0
"GRAM",17,3,0,61,4,5,1,0,0
"ENWD",1,3,8,8,87,4,3,0,0
"TEDE",12,10,26,14,35,199,13,0,0
"CMIX",1,0,1,2,13,18,35,1,0
"CENF",0,0,0,0,1,0,0,0,0
"TUND",0,0,0,0,0,0,0,0,0
