"","DESE","XSHB","WTSFS","GRAM","ENWD","TEDE","CMIX","CENF","TUND"
"DESE",0,7,0,4,0,0,0,0,0
"XSHB",3,4,0,1,2,1,1,0,0
"WTSFS",1,2,6,3,0,3,0,0,0
"GRAM",3,9,3,5,0,2,0,0,0
"ENWD",1,1,0,4,2,1,0,0,0
"TEDE",2,4,5,0,10,6,7,0,0
"CMIX",3,1,3,2,7,4,4,7,0
"CENF",0,0,0,1,0,0,2,2,7
"TUND",0,0,0,0,0,0,0,2,4
