"","DESE","XSHB","WTSFS","GRAM","ENWD","TEDE","CMIX","CENF","TUND"
"DESE",7,5,0,11,1,0,0,0,0
"XSHB",2,10,8,3,10,2,0,0,0
"WTSFS",2,3,14,6,4,39,1,0,0
"GRAM",13,9,2,12,7,25,0,0,0
"ENWD",2,8,47,25,28,30,3,0,0
"TEDE",5,7,23,10,43,29,13,0,0
"CMIX",10,5,2,5,20,38,13,0,0
"CENF",0,0,0,0,0,0,3,0,0
"TUND",0,0,0,0,0,0,0,0,0
